JIRA_ISSUE_ID,JIRA_ISSUE_KEY
37800,POPS-21
96397,MOPS-1310
141680,PSV-625
141587,PSV-535
82801,ABU-132
135676,BUAPP-65123
62747,IMP-2448
92083,BUDES-412
79195,IP-204
68037,IS-6
59038,BUW-396
28965,BUDES-314
56026,RVOPS-151
76654,FED-16
102637,CCSIR-60
55205,RVOPS-134
33825,BUDES-386
81095,ABU-16
137382,BUAPP-65695
25289,DM-605
20040,BUDES-132
98369,BUAPP-48224
78784,BUW-502
86321,BUAPP-41907
109717,BUAPP-54124
16431,ANARC-45
56609,CDEV-268
96670,BUAPP-47104
25302,DM-618
57665,HRITHELP-328
95324,BUAPP-46374
62823,IMP-1396
62732,IMP-2606
16877,ANARC-104
57912,RVOPS-191
106481,CSODOC-360
58958,RVOPS-212
46776,BUW-275
79492,HRITHELP-666
21580,
21190,
23093,
21415,BUDES-163
23107,
11651,BUDES-25
27371,NOP-33
32350,NOP-76
75396,IP-118
75384,IP-114
54075,HRITHELP-247
27912,ANLYT-69
59534,BUAPP-27421
93104,BUAPP-45219
139873,BUAPP-66805
36015,BUW-169
65383,BUIOS-3230
22309,DM-566
75616,BUAPP-36126
98892,RDATA-16
19420,DM-132
27891,BUDES-297
130011,PIA-319
77496,IP-180
77063,IP-170
103102,BUAPP-50762
66484,EHC-40
81557,ABU-97
81568,ABU-105
81566,ABU-103
81048,ABU-6
81749,HRITHELP-715
87743,BUAPP-42881
48946,HRITHELP-140
45090,COPSAG2021-51
45092,COPSAG2021-52
18153,PT-16
88914,IP-250
80275,IMP-2836
141250,PSV-260
141561,PSV-510
141436,PSV-446
141379,PSV-389
141685,PSV-630
141336,PSV-346
141282,PSV-292
26821,BUDES-280
121126,HRIX-77
121811,BUAPP-59353
15725,BUDES-63
30089,WAF-115
18047,BUDES-113
48899,HRITHELP-138
141276,PSV-286
141447,PSV-457
121103,HRIX-54
110491,EOC-6
56142,CCDOC-21
57705,IP-3
50887,HRITHELP-187
41933,BUW-241
