ROLE_ID,ROLE,COUNT_OF_ACTIVE_USERS,MARKETING_TEAM_ROLLUP
00E2J000001Yo5hUAC,AVP West 1.2,0,Undefined
00E2J000001gUfxUAE,AVP West 2.1,0,Undefined
00E2J000001oJmcUAE,BDR-Manager,0,Undefined
00E2J000001gUiNUAU,Care SDR,0,Undefined
00E2J000001JZVpUAO,Chief Growth Officer,0,Undefined
00E50000001IU4GEAW,Chief Innovation Officer,0,Undefined
00E2J000001wJ3qUAE,CMO,0,Undefined
00E2J000001wUOVUA2,COO,0,Undefined
00E2J000001sQpCUAU,CSM Care,0,Undefined
00E2J000001oJmrUAE,Customer BDR,0,Undefined
00E2J000001sSv2UAE,EMEA AE,0,Undefined
00E2J000001sS6xUAE,EMEA SDR,0,Undefined
00E2J000001gUlHUAU,GM AM Central,0,Undefined
00E2J000001wYr2UAE,GM AM West,0,Undefined
00E2J000001Yk2KUAS,Head of Customer Success,0,Undefined
00E2J000001Z0L8UAK,Head of D2C,0,Undefined
00E50000001FMaxEAG,Head of Enterprise Sales,0,Undefined
00E50000001rzgmEAA,Head of MM-SMB,0,Undefined
00E2J000001gUvvUAE,"Manager, Inbound",0,Undefined
00E2J000001sRJbUAM,"Manager, Outbound SDR",0,Undefined
00E2J000001gUvqUAE,"Manager, Post Sales",0,Undefined
00E2J000001oJmXUAU,MM - Account Executive,0,Undefined
00E2J000001oKGXUA2,MM - Account Manager,0,Undefined
00E2J000001oXVLUA2,MM - Central,0,Undefined
00E2J000001oXVQUA2,MM - East,0,Undefined
00E2J000001oXVVUA2,MM - West,0,Undefined
00E2J000001oKGSUA2,MM Manager,0,Undefined
00E2J000001ZUtyUAG,Need to Move,0,Undefined
00E2J000001sPorUAE,President Care,0,Undefined
00E2J000001g8EbUAI,Relationship Management Leader - East,0,Undefined
00E50000001FMbCEAW,Relationship Management Leader - West,0,Undefined
00E2J000001g8EWUAY,Relationship Manager - West,0,Undefined
00E2J000001sV4zUAE,RVP AM Europe,0,Undefined
00E2J000001wYqJUAU,RVP Canada,0,Undefined
00E2J000001sPp1UAE,RVP Care East,0,Undefined
00E2J000001gUgWUAU,RVP Care EMEA,0,Undefined
00E2J000001gUVTUA2,RVP Care MM,0,Undefined
00E2J000001gUVOUA2,RVP Care West,0,Undefined
00E2J000001g8B3UAI,RVP Central North,0,Undefined
00E2J000001wYqEUAU,RVP Central South,0,Undefined
00E2J000001sOghUAE,RVP Continental Europe,0,Undefined
00E2J000001wYqTUAU,RVP Enterprise Sales,0,Undefined
00E2J000001wYq9UAE,RVP Southeast,0,Undefined
00E2J000001gUq7UAE,RVP UK-Nordics,0,Undefined
00E2J000001gUfsUAE,RVP West 2,0,Undefined
00E2J000001g8JRUAY,SBS Lead - East,0,Undefined
00E2J000001oHutUAE,SMB - Account Executive,0,Undefined
00E2J000001g7sQUAQ,SMB - Account Manager,0,Undefined
00E2J000001oKGNUA2,SMB Manager,0,Undefined
00E2J000001wKZTUA2,SMB-Expansion-Renewal,0,Undefined
00E2J000001l0TXUAY,Strategic AM East,0,Undefined
00E2J000001l0TcUAI,Strategic AM West,0,Undefined
00E2J000001wJ3vUAE,"VP, Product Marketing",0,Undefined
