fct_name,column_name,id_to_exclude,comment
fct_unused_sources,parent,segment_sendgrid.unsubscribe,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,analytics_analytics.member_motivation_topics,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,jira.roles,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,stripe.disputes,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_session,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,star_coach_quality_metrics_daily_snapshot,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_member_calls,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_events__invited_product_subscription_assignment,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_members,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,star_coach_upcoming_availability_snapshot,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt__derived_construct_scores,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,fact_coach_recommendation_metric,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_member_dates_with_primary_coach,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,coach_comp__assessments,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,fact_reporting_group_engagement_metrics,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dei_coach_supply,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_coach_specialist_vertical,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,assessments__assessment_text_scores,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,stg_app__group_coaching_series,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,stg_app__reporting_group_records,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt__reference_population_persisted_construct_scores_non_subdimension,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_coach_date_sessions,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt__reference_population_dimension_scores,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,app_product_subscriptions,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,app_tracks,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dei_responses_coach_feedback,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dei_member_engagement_by_track,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,int_app__construct_benchmark_scores_reference_population_2,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,int_app__construct_benchmark_scores_reference_population_1,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_member_track_upcoming_engagement,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,int_group_coaching_attendance,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dei_assessments_current_manager_feedback_status,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,stg_sfdc__accounts_snapshot,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dei_coach_applicants,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_member_reporting_group_assignment_lead__upcoming_session_metrics,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,coach_pay_rates_diff_global,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,non_session_event_time,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_track_metrics,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,int_app__connect_configurations,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_features__member_testimonials,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,stg_app__contracts,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,contract_utilization,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_wpm2_mock_sessions,excluding models created prior to implementing dbt_project_evaluator
